date,pollen_intensity,pollen_source_type
 22 a 28 de Março de 2019,muito ele,"ados/plátano, azinheira / outros carvalhos / cipreste,/urtiga /parietária./"
 29 de Março a 4 de Abril de 2019,muito ele,"ados/azinheira / outros carvalhos, plátano / pinheiro,/urtiga /parietária./"
 5 a 11 de Abril de 2019,baixos,"azinheira / outros carvalhos, plátano, pinheiro /cipreste,/urtiga /parietária./"
 12 a 18 de Abril de 2019,muito elevados,"azinheira / outros carvalhos, oliveira, plátano / pinheiro, /urtiga,/parietária /tanchagem./"
 19 a 25 de Abril de 2019,elevados,"azinheira / outros carvalhos, oliveira / pinheiro, /urtiga,/parietária, gramíneas /tanchagem./"
 26 de Abril a 2 de Maio de 2019,elevados,"oliveira, azinheira / outros carvalhos / pinheiro, /parietária, gramíneas,/tanchagem, urtiga / quenopódio./"
 3 a 9 de Maio de 2019.,muito elevados,"oliveira, sobreiro / outros carvalhos, /parietária, urtiga, gramíneas,/tanchagem / quenopódio./"
 10 a 16 de Maio de 2019.,muito elevados,"oliveira, sobreiro / outros carvalhos, /gramíneas,/parietária, urtiga, tanchagem / quenopódio./"
 17 a 23 de Maio de 2019.,muito elevados,"oliveira, sobreiro / outros carvalhos, /gramíneas,/parietária, tanchagem, azeda, urtiga / quenopódio./"
 24 a 30 de Maio de 2019,muito elevados,"oliveira, sobreiro / outros carvalhos, /gramíneas,/parietária, tanchagem, quenopódio, azeda / urtiga./"
 31 de Maio a 6 de Junho de 2019,muito elevados,"oliveira / carvalhos, /gramíneas /parietária./"
 7 a 13 de Junho de 2019,muito elevados,"oliveira / carvalhos, /gramíneas /parietária./"
 14 a 20 de Junho de 2019.,elevados,"gramíneas /parietária, /castanheiro/"
 21 a 27 de Junho de 2019.,elevados,gramíneas /parietária/
região de Trás-Os-Montes e Alto Douro,baixos,gramíneas /parietária / quenopódio/eucalipto/
 19 a 25 de Março de 2021,baixos,gramíneas /parietária / quenopódio/eucalipto/
 26 de Março a 1 de Abril de 2021,muito ele,"ados/plátano, cipreste,/azinheira / outros carvalhos, cedros e pinheiros /urtiga /parietária./"
