temp,dew,humidity,precip,windspeed,pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,Kmeans label,birch,dbscan,risk level
11.5,5.1,66.2,0.0,11.1,1.0,1.0,0.0,0.0,0.0,0.0,8.4,0,0,0,3
10.9,7.4,80.2,0.0,16.4,1.0,1.0,0.0,0.0,0.0,0.0,8.3,2,0,0,2
7.4,6.1,91.7,0.005,12.6,1.0,0.0,0.0,1.0,0.0,0.0,5.800000000000001,2,1,4,1
9.7,6.9,84.1,0.0,16.8,1.0,1.0,0.0,0.0,0.0,0.0,6.5,2,0,-1,3
10.5,5.5,71.4,0.0,14.9,1.0,1.0,0.0,0.0,0.0,0.0,7.000000000000001,0,0,0,2
8.7,4.6,76.4,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,8.899999999999999,0,0,0,2
10.4,-0.6,49.7,0.0,15.3,1.0,1.0,0.0,0.0,0.0,0.0,9.8,1,2,-1,3
10.6,0.0,48.7,0.0,14.5,1.0,1.0,0.0,0.0,0.0,0.0,8.5,1,2,-1,2
11.2,4.4,64.1,0.0,13.9,1.0,1.0,0.0,0.0,0.0,0.0,10.3,0,0,-1,2
11.5,4.4,63.0,0.0,21.5,1.0,1.0,0.0,0.0,0.0,0.0,6.299999999999999,0,0,0,2
9.5,-0.9,48.7,0.0,20.4,1.0,1.0,0.0,0.0,0.0,0.0,5.699999999999999,1,2,-1,2
9.4,1.0,56.4,0.0,18.4,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1,2,-1,3
9.8,2.9,62.9,0.0,16.8,1.0,1.0,0.0,0.0,0.0,0.0,6.6,0,0,-1,2
9.9,6.1,78.2,0.0,11.9,1.0,1.0,0.0,0.0,0.0,0.0,10.5,0,0,0,3
10.1,8.3,89.0,0.0,9.8,1.0,1.0,0.0,0.0,0.0,0.0,4.6000000000000005,2,1,4,2
10.9,9.8,93.2,0.667,9.1,1.0,0.0,0.0,1.0,0.0,0.0,2.5,2,1,4,1
10.6,5.9,74.8,0.008,25.5,1.0,0.0,0.0,1.0,0.0,0.0,6.7,0,0,-1,3
